store,websites,attribute_set,type,categories,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,options_container,msrp_display_actual_price_type,price,weight,status,is_recurring,enable_googlecheckout,tax_class_id,description,short_description,visibility,is_in_stock,qty,min_qty,use_config_min_qty,is_qty_decimal,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,manage_stock,gallery
default,base,Default,simple,Hublot/Big Bang,I2H9,0,Perfect Hublot Big Bang Watches [I2H9],,,f_6066.jpg,f_6066.jpg,f_6066.jpg,Perfect-Hublot-Big-Bang-Watches,Perfect-Hublot-Big-Bang-Watches,,container2,4,167.9,0.25,Enabled,1,1,0,"<div class=""std"">
        <p><p><strong>Back:</strong> Stainless steel screwed down back with Hublot inscriptions</p><p><strong>Gender:</strong> Men</p><p><strong>Movement:</strong> Quartz (Battery)</p><p><strong>Quality:</strong> Japanese Miyota</p><p><strong>Color:</strong> Black</p><p><strong>Case:</strong> Polished 18k rose-gold plated stainless steel case with red highlighting</p><p><strong>Bracelet:</strong> Textured black rubber band with rose-gold push-button hook clasp and Hublot engravings</p><p><strong>Bracelet Length:</strong> 203 x 25 mm</p><p><strong>Bezel:</strong> Brushed 18k rose-gold screwed down bezel</p><p><strong>Band Type:</strong> Rubber</p><p><strong>Diameter:</strong> 50 x 45 mm </p><p><strong>Chronograph:</strong> Yes</p><p><strong>Watch Clasp:</strong> Flip Clasp</p><p><strong>Glass:</strong> Sapphire Crystal</p><p><strong>Crown:</strong> Cutwork rose-gold crown with 'H' engraving and two rectangular push-button crowns on either side, all studded with red rubber trimmings</p><p><strong>Case Thickness:</stron    </div>
        </div>","<div class=""std"">
        <p><p><strong>Back:</strong> Stainless steel screwed down back with Hublot inscriptions</p><p><strong>Gender:</strong> Men</p><p><strong>Movement:</strong> Quartz (Battery)</p><p><strong>Quality:</strong> Japanese Miyota</p><p><strong>Color:</strong> Black</p><p><strong>Case:</strong> Polished 18k rose-gold plated stainless steel case with red highlighting</p><p><strong>Bracelet:</strong> Textured black rubber band with rose-gold push-button hook clasp and Hublot engravings</p><p><strong>Bracelet Length:</strong> 203 x 25 mm</p><p><strong>Bezel:</strong> Brushed 18k rose-gold screwed down bezel</p><p><strong>Band Type:</strong> Rubber</p><p><strong>Diameter:</strong> 50 x 45 mm </p><p><strong>Chronograph:</strong> Yes</p><p><strong>Watch Clasp:</strong> Flip Clasp</p><p><strong>Glass:</strong> Sapphire Crystal</p><p><strong>Crown:</strong> Cutwork rose-gold crown with 'H' engraving and two rectangular push-button crowns on either side, all studded with red rubber trimmings</p><p><strong>Case Thickness:</stron    </div>
        </div>","Catalog, Search",0,1000,0,1,0,1,1,1,0,1,0,/f_1_5766.jpg;/1_4167.jpg;2_5214.jpg;/3_5432.jpg;4_5415.jpg;/5_5423.jpg;/6_5392.jpg
default,base,Default,simple,Hublot/Big Bang,P4Q7,0,Perfect Hublot Big Bang Watches [P4Q7],,,f_8181.jpg,f_8181.jpg,f_8181.jpg,Perfect-Hublot-Big-Bang-Watches,Perfect-Hublot-Big-Bang-Watches,,container2,4,167.9,0.25,Enabled,1,1,0,"<div class=""std"">
        <p><p><strong>Back:</strong> Ion-plated screwed down back with transparent mechanic revealing center and Hublot Big Bang engravings</p><p><strong>Gender:</strong> Men</p><p><strong>Movement:</strong> Kinetic (Automatic)</p><p><strong>Quality:</strong> Japanese Miyota</p><p><strong>Case:</strong> Ion-plated stainless steel case</p><p><strong>Bracelet:</strong> Hublot Geneve heat embossed black rubber strap with Hublot Geneve engraved ion-plated push release hook clasp</p><p><strong>Bracelet Length:</strong> 187 x 23 mm</p><p><strong>Bezel:</strong> Ion-plated screwed down bezel</p><p><strong>Band Type:</strong> Rubber</p><p><strong>Diameter:</strong> 42 x 40 mm </p><p><strong>Watch Clasp:</strong> Butterfly Clasp</p><p><strong>Glass:</strong> Sapphire Crystal</p><p><strong>Crown:</strong> Ion-plated cutwork crown with Hublot logo</p></p>    </div>
        </div>","<div class=""std"">
        <p><p><strong>Back:</strong> Ion-plated screwed down back with transparent mechanic revealing center and Hublot Big Bang engravings</p><p><strong>Gender:</strong> Men</p><p><strong>Movement:</strong> Kinetic (Automatic)</p><p><strong>Quality:</strong> Japanese Miyota</p><p><strong>Case:</strong> Ion-plated stainless steel case</p><p><strong>Bracelet:</strong> Hublot Geneve heat embossed black rubber strap with Hublot Geneve engraved ion-plated push release hook clasp</p><p><strong>Bracelet Length:</strong> 187 x 23 mm</p><p><strong>Bezel:</strong> Ion-plated screwed down bezel</p><p><strong>Band Type:</strong> Rubber</p><p><strong>Diameter:</strong> 42 x 40 mm </p><p><strong>Watch Clasp:</strong> Butterfly Clasp</p><p><strong>Glass:</strong> Sapphire Crystal</p><p><strong>Crown:</strong> Ion-plated cutwork crown with Hublot logo</p></p>    </div>
        </div>","Catalog, Search",0,1000,0,1,0,1,1,1,0,1,0,/f_8181.jpg;/1_4612.jpg;/2_7012.jpg;/3_7236.jpg;/4_5873.jpg;/5_7232.jpg;/6_7201.jpg;/7_4304.jpg
default,base,Default,simple,Hublot/Big Bang,P7O7,0,Perfect Hublot Big Bang Watches [P7O7],,,f_6043.jpg,f_6043.jpg,f_6043.jpg,Perfect-Hublot-Big-Bang-Watches,Perfect-Hublot-Big-Bang-Watches,,container2,4,167.9,0.25,Enabled,1,1,0,"<div class=""std"">
        <p><p><strong>Back:</strong> Stainless steel screwed down back with Hublot inscriptions</p><p><strong>Gender:</strong> Women</p><p><strong>Movement:</strong> Quartz (Battery)</p><p><strong>Quality:</strong> Japanese Miyota</p><p><strong>Color:</strong> Yellow</p><p><strong>Case:</strong> 18k rose-gold plated stainless steel case</p><p><strong>Bracelet:</strong> Textured yellow rubber band with rose-gold push-button hook clasp and Hublot engravings</p><p><strong>Bracelet Length:</strong> 160 x 21 mm</p><p><strong>Bezel:</strong> Brushed 18k rose-gold screwed down bezel</p><p><strong>Band Type:</strong> Rubber</p><p><strong>Diameter:</strong> 42 x 36 mm </p><p><strong>Chronograph:</strong> Yes</p><p><strong>Watch Clasp:</strong> Flip Clasp</p><p><strong>Glass:</strong> Sapphire Crystal</p><p><strong>Crown:</strong> Cutwork rose-gold crown with 'H' engraving and two rectangular push-button crowns on either side, all studded with yellow rubber trimmings</p><p><strong>Case Thickness:</strong> 13 mm</p></p>    </div>
        </div>","<div class=""std"">
        <p><p><strong>Back:</strong> Stainless steel screwed down back with Hublot inscriptions</p><p><strong>Gender:</strong> Women</p><p><strong>Movement:</strong> Quartz (Battery)</p><p><strong>Quality:</strong> Japanese Miyota</p><p><strong>Color:</strong> Yellow</p><p><strong>Case:</strong> 18k rose-gold plated stainless steel case</p><p><strong>Bracelet:</strong> Textured yellow rubber band with rose-gold push-button hook clasp and Hublot engravings</p><p><strong>Bracelet Length:</strong> 160 x 21 mm</p><p><strong>Bezel:</strong> Brushed 18k rose-gold screwed down bezel</p><p><strong>Band Type:</strong> Rubber</p><p><strong>Diameter:</strong> 42 x 36 mm </p><p><strong>Chronograph:</strong> Yes</p><p><strong>Watch Clasp:</strong> Flip Clasp</p><p><strong>Glass:</strong> Sapphire Crystal</p><p><strong>Crown:</strong> Cutwork rose-gold crown with 'H' engraving and two rectangular push-button crowns on either side, all studded with yellow rubber trimmings</p><p><strong>Case Thickness:</strong> 13 mm</p></p>    </div>
        </div>","Catalog, Search",0,1000,0,1,0,1,1,1,0,1,0,/f_6043.jpg;/f_1_5743.jpg;/1_4144.jpg;/2_5191.jpg;/3_5409.jpg;/4_5392.jpg;/5_5400.jpg
